"Comment","Designator","Footprint","JLCPCB Part #"
"4.7uF","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1779"
"~","D1","PCM_JLCPCB:D_SOD-123FL","C64898"
"PTT","D2","LED_SMD:LED_0805_2012Metric","C84256"
"POW","D3","LED_SMD:LED_0805_2012Metric","C2297"
"COS","D4","LED_SMD:LED_0805_2012Metric","C2296"
"Conn_02x06_Odd_Even","J1","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","C124388"
"Conn_01x06","J2","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C37208"
"NPN","Q1","Package_TO_SOT_SMD:SOT-23_Handsoldering","C2145"
"10K","R1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"1K","R2,R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"10k","RV1,RV2","Matt:R_Potentiometer-10k-C361173","C361173"
"SW_SPDT","SW1","Matt:SW-SPDT-C49023767","C49023767"
